"instance","label","avgx1","avgx2","avgx3","avgx4","avgx5","avgx6","avgx7","avgx8","avgx9","avgx10","avgx11","avgx12","avgx13","avgx14","avgx15","avgx16","avgx17","avgx18","avgx19","avgx20","avgx21","avgx22","avgx23","avgx24","avgx25","avgx26","avgx27","avgx28","avgy1","avgy2","avgy3","avgy4","avgy5","avgy6","avgy7","avgy8","avgy9","avgy10","avgy11","avgy12","avgy13","avgy14","avgy15","avgy16","avgy17","avgy18","avgy19","avgy20","avgy21","avgy22","avgy23","avgy24","avgy25","avgy26","avgy27","avgy28","transx1","transx2","transx3","transx4","transx5","transx6","transx7","transx8","transx9","transx10","transx11","transx12","transx13","transx14","transx15","transx16","transx17","transx18","transx19","transx20","transx21","transx22","transx23","transx24","transx25","transx26","transx27","transx28","transy1","transy2","transy3","transy4","transy5","transy6","transy7","transy8","transy9","transy10","transy11","transy12","transy13","transy14","transy15","transy16","transy17","transy18","transy19","transy20","transy21","transy22","transy23","transy24","transy25","transy26","transy27","transy28"
292,3,0,0,0,1.89285714285714,18.7142857142857,28.1428571428571,26.0357142857143,24.5,21.9642857142857,29.1428571428571,27.6071428571429,40.5,72.6071428571429,84.25,95.5,100.035714285714,122.321428571429,112.571428571429,78.9642857142857,34.2857142857143,9.28571428571429,0,0,0,0,0,0,0,0,0,0,0,35.2142857142857,79.0357142857143,99.6428571428571,73.7142857142857,42.8928571428571,30.6785714285714,26.9285714285714,24.4642857142857,28.8214285714286,46.4642857142857,45.75,35.4285714285714,31.9642857142857,29.3214285714286,32.0357142857143,29.8928571428571,51.5357142857143,77.9285714285714,71,35.6071428571429,0,0,0,0,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
293,4,0,0,0,0,0,0,0,0,7.14285714285714,24.2857142857143,40.2857142857143,58.1428571428571,65.8214285714286,92.1785714285714,93.5357142857143,96.5714285714286,114.714285714286,86.1071428571429,26.6785714285714,14.9285714285714,12.75,12.75,9.5,1.25,0,0,0,0,0,0,0,0,15.8928571428571,17.8214285714286,19.0714285714286,19.0714285714286,20.5,23.8571428571429,84.0714285714286,123.928571428571,68,40.7142857142857,45.1785714285714,43.7142857142857,44.3214285714286,39.2857142857143,35.4642857142857,34.5357142857143,21,22.2857142857143,21.1785714285714,16.75,0,0,0,0,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56
294,0,0,0,0,0,0,0,22.8928571428571,89.1785714285714,106.321428571429,143.178571428571,144.25,125.607142857143,100.464285714286,91.5714285714286,68.9285714285714,47,58,75.75,86,98.3928571428571,140.857142857143,133.321428571429,87,16.1428571428571,0,0,0,0,0,0,0,0,50.9285714285714,86.2857142857143,112.678571428571,125.535714285714,107.75,81.75,70.6785714285714,57.4642857142857,70.4285714285714,73.8571428571429,78.3214285714286,72.8928571428571,64.0714285714286,70.1785714285714,72.1428571428571,83.7142857142857,97.7142857142857,106.607142857143,98.1071428571429,53.75,0,0,0,0,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68
295,4,0,0,0,0,54.1071428571429,94.2857142857143,100.392857142857,96.6071428571429,75.6785714285714,40.8214285714286,34.2142857142857,34.2142857142857,38.6071428571429,37.8214285714286,35.1785714285714,35.9642857142857,34.25,34.2142857142857,56.25,129.392857142857,146.75,147.214285714286,62.8571428571429,12.0357142857143,0,0,0,0,0,0,0,19,26.5,20.6428571428571,25.1071428571429,29.3571428571429,29.3571428571429,69.4285714285714,118.607142857143,146.785714285714,161.25,144.642857142857,99.5714285714286,78.3928571428571,73.3571428571429,73.3928571428571,72.2142857142857,63.5,42.9285714285714,6.82142857142857,0,0,0,0,0,0,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
296,8,0,0,0,0,0,0,0,6.32142857142857,41.3928571428571,56.6428571428571,43.3214285714286,41,73.5714285714286,95.5,113.607142857143,106.178571428571,59.3214285714286,42.6428571428571,48.3928571428571,44.1428571428571,50.6071428571429,44.25,4.39285714285714,0,0,0,0,0,0,0,0,0,45.3214285714286,59.1785714285714,53.7142857142857,41.0714285714286,41.5,42.25,42.1428571428571,41.2857142857143,44.75,34.1071428571429,45.1071428571429,53.3928571428571,45.1428571428571,40,25.9285714285714,18.4642857142857,27.5,61.25,72.7142857142857,36.4642857142857,0,0,0,0,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
297,0,0,0,0,0,0,0,11.3928571428571,63.9642857142857,111.428571428571,107.5,51.8571428571429,39.7857142857143,56.25,59.75,58.5357142857143,58.8571428571429,59.7857142857143,64.1785714285714,74.2142857142857,81.3928571428571,90.75,74.1785714285714,32.7142857142857,2.5,0,0,0,0,0,0,0,0,0,61.9642857142857,85.6785714285714,97.7142857142857,69.5,56.0357142857143,51,50.6785714285714,58.1428571428571,54.4642857142857,53.4285714285714,42.5,39.3928571428571,45.9285714285714,57.8571428571429,86.3928571428571,70.2857142857143,49.8571428571429,30.4642857142857,22.6071428571429,15.1428571428571,0,0,0,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64
298,4,0,0,0,0,0,6.96428571428571,18.1428571428571,21.6428571428571,28.75,41.5,60.4642857142857,54.6071428571429,40.5357142857143,47.9642857142857,54.8571428571429,43.6071428571429,40.25,47.8571428571429,56.9285714285714,50.0714285714286,61.8214285714286,46.6785714285714,19.5,0,0,0,0,0,0,0,0,0,21.9642857142857,22.6428571428571,21.2857142857143,21.6428571428571,20.5714285714286,23.6071428571429,68.9642857142857,117.535714285714,75.5357142857143,50.2142857142857,45.0714285714286,44.3214285714286,44.1785714285714,35.3571428571429,25.5714285714286,19.6785714285714,19.8571428571429,23.6428571428571,22.4285714285714,18.0714285714286,0,0,0,0,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56
299,3,0,0,0,0,0,0,6.14285714285714,28.75,52.8214285714286,56.2857142857143,80.1071428571429,94.25,106.107142857143,113.714285714286,121.607142857143,122.75,113.785714285714,81.25,82.5357142857143,79.1785714285714,57.6428571428571,14.1428571428571,0,0,0,0,0,0,0,0,0,46.1071428571429,84.3571428571429,108.178571428571,81,37.7857142857143,28.4642857142857,27.8214285714286,27.8214285714286,34.1428571428571,57.2142857142857,82.3928571428571,73.6428571428571,60.0714285714286,49.6428571428571,40.5714285714286,45.7142857142857,88.3571428571429,96.8928571428571,85.3214285714286,55.5714285714286,0,0,0,0,0,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
300,6,0,0,0,0,0,0,2.14285714285714,33.8571428571429,74.5714285714286,100.5,107.464285714286,107.428571428571,112.285714285714,106,93.9642857142857,90.3928571428571,82.7857142857143,61.8214285714286,58.3214285714286,61.8571428571429,64.4285714285714,55.4642857142857,14.0714285714286,0,0,0,0,0,0,0,0,0,0,0,28.75,66.5714285714286,98.1428571428571,115.107142857143,113.107142857143,102.642857142857,86.4285714285714,84.3928571428571,94.8214285714286,85.6428571428571,63.3214285714286,39.4642857142857,30.9285714285714,28.1428571428571,31.7857142857143,33.6428571428571,37.8928571428571,36.5357142857143,28.8571428571429,21.1785714285714,0,0,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62
301,8,0,0,0,0,0,0,0,0,0,0.821428571428571,37.9642857142857,89.7857142857143,104,80.6071428571429,79.3214285714286,130.392857142857,120.214285714286,60.4285714285714,48.6071428571429,27.5357142857143,0.785714285714286,0,0,0,0,0,0,0,0,0,0,34.7142857142857,49.2857142857143,37.1785714285714,36.1785714285714,36.2142857142857,35.6785714285714,36.3928571428571,34.5714285714286,35.8571428571429,29.2142857142857,33.75,38.6071428571429,36,39.6428571428571,45.75,58.4285714285714,55.6071428571429,42.9285714285714,40.8571428571429,23.6071428571429,0,0,0,0,0,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
302,7,0,0,0,0,0,0,0,0,22.4285714285714,57.8214285714286,69.9642857142857,83.0714285714286,81.0357142857143,63.3571428571429,58.75,65.8571428571429,70.5714285714286,58.2142857142857,61.1428571428571,52.0357142857143,34.6071428571429,16.8571428571429,0,0,0,0,0,0,0,26.6785714285714,29.3571428571429,27.8571428571429,28.1071428571429,26.6785714285714,26.75,29.2857142857143,29.2857142857143,27.6785714285714,24.4642857142857,28.0357142857143,28.7857142857143,24.5357142857143,31.75,52.7142857142857,62.2142857142857,78.2142857142857,111.321428571429,82.2857142857143,19.7142857142857,0,0,0,0,0,0,0,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46
303,6,0,0,0,0,0,0,0,8.96428571428571,39.1785714285714,70.4285714285714,87.75,82.2142857142857,75.3928571428571,94.3214285714286,109.714285714286,115.821428571429,110.785714285714,99.3928571428571,77.7142857142857,41.6428571428571,15.6428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,47.3571428571429,77.1428571428571,98.3214285714286,83.1071428571429,87.5357142857143,80.3214285714286,93.25,86.0714285714286,53.5,31.3571428571429,29.75,30.75,30.3928571428571,31.5357142857143,32.8571428571429,32.0357142857143,32.3571428571429,28.75,25.8928571428571,16.6785714285714,0,0,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54
304,0,0,0,0,0,0,9.75,51.0357142857143,71.6785714285714,97.2857142857143,102.321428571429,85.5357142857143,89.3214285714286,96.5714285714286,100.392857142857,92.7857142857143,76.5,72.7142857142857,73.7857142857143,91.9285714285714,118.428571428571,122.571428571429,102.321428571429,55.7142857142857,19,0,0,0,0,0,0,0,0,54.5357142857143,85.3928571428571,110.857142857143,119.607142857143,91.3214285714286,78.5357142857143,69.5714285714286,62.1071428571429,62.1071428571429,73.25,75.8928571428571,75.8214285714286,75.8571428571429,71.5357142857143,80.25,75.9642857142857,81.75,78.6071428571429,65.3571428571429,41.3214285714286,0,0,0,0,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64
305,9,0,0,0,0,0,0,0,0,21.25,32.3928571428571,24.2857142857143,24.3214285714286,24.25,25.2857142857143,26.3928571428571,91.1785714285714,170.964285714286,62.8214285714286,0,0,0,0,0,0,0,0,0,0,0,11.1071428571429,18.2142857142857,18.2142857142857,18.2142857142857,18.2142857142857,16.1785714285714,14.2142857142857,15.25,15.25,14.1428571428571,17.1785714285714,18.2142857142857,18.2142857142857,18.2142857142857,43.5714285714286,68.7857142857143,32.3571428571429,36.4642857142857,51.6785714285714,39.4642857142857,0,0,0,0,0,0,0,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48
306,7,0,0,0,0,0,0,0,2.28571428571429,34.1428571428571,58.3928571428571,84.9642857142857,83.2857142857143,70.0714285714286,63.3571428571429,57.25,60.3214285714286,60.0357142857143,60.0714285714286,59.4642857142857,52.25,32.9642857142857,17.1428571428571,0,0,0,0,0,0,0,21.6428571428571,30.0357142857143,25.0357142857143,26.1428571428571,27.9642857142857,25,29.4285714285714,31.1428571428571,32.25,32.4642857142857,30.0714285714286,27.25,30,43.8928571428571,55.3214285714286,55.1071428571429,53.4285714285714,88.75,93,38.0714285714286,0,0,0,0,0,0,0,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48
307,5,0,0,0,0,16.8214285714286,27.4285714285714,26.5357142857143,25.8928571428571,52.3571428571429,62.6428571428571,70.6428571428571,68.5357142857143,61.4642857142857,60.0714285714286,53.1785714285714,54.9642857142857,59.0357142857143,64.2857142857143,61.6428571428571,65,62.9285714285714,69.1071428571429,61.2142857142857,36.25,0,0,0,0,0,0,0,0,14.0357142857143,81.0714285714286,115.357142857143,86.5,60.8214285714286,51.7142857142857,44.1428571428571,28.3214285714286,23.25,28.6071428571429,35.4642857142857,71.6785714285714,92.2142857142857,62.25,37.7857142857143,97.8214285714286,101,27.9642857142857,0,0,0,0,0,0,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46
308,7,0,0,0,0,0,0,0,0,0,29.3214285714286,70.6785714285714,79.7142857142857,64.3214285714286,71.1428571428571,64.8571428571429,61.3928571428571,69.2857142857143,70.2142857142857,63.5,43.1428571428571,19.6071428571429,0,0,0,0,0,0,0,0,16.1785714285714,27.6071428571429,27.8928571428571,27.8571428571429,26.0714285714286,27.2142857142857,26.3214285714286,24.6428571428571,27.8928571428571,25.5,27.8571428571429,24.5357142857143,25.6071428571429,26.2857142857143,31.3928571428571,43.3214285714286,51.0357142857143,69.5,92.6785714285714,57.7857142857143,0,0,0,0,0,0,0,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46
309,2,0,0,0,0,6.32142857142857,22.0357142857143,36.5,42.8571428571429,49.5357142857143,59.7142857142857,79.6428571428571,85.9285714285714,81.6428571428571,79.7142857142857,67.8571428571429,64.1428571428571,69.6428571428571,84.3214285714286,92.25,96.4285714285714,116.964285714286,107.357142857143,13.8214285714286,0,0,0,0,0,0,0,0,0,9.89285714285714,18.5714285714286,56.9285714285714,98.7142857142857,119.428571428571,126.25,116.107142857143,93.5357142857143,87.5,70.7142857142857,31.3928571428571,38.6071428571429,30.1428571428571,20.7142857142857,17.5,17.5,44.2857142857143,100.857142857143,94.8571428571429,63.1785714285714,0,0,0,0,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48
310,1,0,0,0,0,0,0,0,0,0,16.5357142857143,43.6785714285714,59,57.5714285714286,50.5357142857143,54.4285714285714,61.9285714285714,79.6071428571429,54.5714285714286,17.6428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,21.2857142857143,27.25,27.2142857142857,25.2857142857143,25.2857142857143,25.2142857142857,25.3571428571429,27.1428571428571,27.2142857142857,25.2142857142857,25.25,25.25,25.2142857142857,23.1785714285714,21.0357142857143,23.7857142857143,25.25,25.25,23.6071428571429,21.2142857142857,0,0,0,0,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
311,1,0,0,0,0,0,0,0,0,0,0,0,0,0,73.5357142857143,136.821428571429,131.892857142857,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6785714285714,24.5357142857143,26,17.7857142857143,17.75,17.75,17.75,20.75,22.1785714285714,23.25,26.5714285714286,21.8571428571429,17.7142857142857,21.3928571428571,20.5357142857143,17.7142857142857,17.7142857142857,17.7142857142857,15.7142857142857,6.89285714285714,0,0,0,0,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
312,6,0,0,0,0,0,0,1.82142857142857,37.1071428571429,70.8928571428571,82.5714285714286,71.6785714285714,66.8214285714286,63.2857142857143,79.6785714285714,88.6428571428571,103.178571428571,92.1071428571429,57.6071428571429,67.5,62.1785714285714,40.1071428571429,5.32142857142857,0,0,0,0,0,0,0,0,0,0,0,0,62.5,90.8928571428571,108.178571428571,93.5357142857143,81.5714285714286,76.0714285714286,79.8571428571429,68.4285714285714,52.3214285714286,32.3571428571429,25.25,25.25,25.25,27.3928571428571,27.0357142857143,26.0357142857143,28.3928571428571,25.25,19.9642857142857,14.9642857142857,0,0,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
313,8,0,0,0,0,0,0,1.46428571428571,24.6428571428571,41.3571428571429,51.2857142857143,77.0714285714286,117.035714285714,127.642857142857,122.642857142857,101.571428571429,111.321428571429,117.428571428571,95.25,44.3214285714286,23.8214285714286,21.7142857142857,20.2142857142857,21.75,26,22.5714285714286,2.14285714285714,0,0,0,0,0,28.8571428571429,49.3571428571429,56.2857142857143,58.0714285714286,62.8571428571429,58.7142857142857,52.0357142857143,55.1428571428571,57.0714285714286,51.5,77.1785714285714,125.428571428571,117.857142857143,54.4642857142857,38.2857142857143,29.7857142857143,39,53.7142857142857,70.0357142857143,35.6071428571429,0,0,0,0,0,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52
314,9,0,0,0,0,0,0,0,0,6.25,37.0714285714286,57.3571428571429,72.1428571428571,98.9642857142857,115.535714285714,91.5,76.6071428571429,67.5357142857143,66.3571428571429,44.5357142857143,7.42857142857143,0,0,0,0,0,0,0,0,0,0,19.25,22.0357142857143,24.75,23.75,25.75,23.25,24.6071428571429,24.3928571428571,26.75,30.4285714285714,57.4642857142857,67.25,46.7142857142857,39.3214285714286,45.9642857142857,42.6785714285714,40.1071428571429,60.5714285714286,61.7857142857143,34.4642857142857,0,0,0,0,0,0,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52
315,4,0,0,0,0,0,0,0,13.9642857142857,45.25,81.8571428571429,80.7142857142857,31,18.5357142857143,18.6071428571429,22.2857142857143,37.0357142857143,54.0714285714286,48.9285714285714,42.7142857142857,73.5357142857143,73.8571428571429,22.9285714285714,1.60714285714286,0,0,0,0,0,0,0,0,9.46428571428571,18.5714285714286,15.5357142857143,17.0357142857143,20.0714285714286,18.5714285714286,24.1785714285714,55.2857142857143,79.25,95.5714285714286,70.8214285714286,29.5357142857143,32.2142857142857,32.1428571428571,31.8571428571429,33.2857142857143,33.1071428571429,22.2857142857143,17.7142857142857,10.3928571428571,0,0,0,0,0,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62
316,1,0,0,0,0,0,0,0,0,0,21.75,38.9285714285714,56.0357142857143,64.3214285714286,68.5714285714286,71.2857142857143,71.2142857142857,73.9285714285714,75.1428571428571,56.2857142857143,31.2857142857143,2.46428571428571,0,0,0,0,0,0,0,0,0,0,0,24.0714285714286,31.7142857142857,32.8928571428571,32.8571428571429,36.2142857142857,32.8928571428571,29.5357142857143,32.8928571428571,32.9285714285714,32.8214285714286,33.3214285714286,35.75,32.8928571428571,32.8928571428571,32.8928571428571,32.8928571428571,29.5357142857143,32.8928571428571,28.4285714285714,20.8928571428571,0,0,0,0,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
317,5,0,0,0,0,0,0,7.07142857142857,20.2142857142857,41.5,61.75,43.5357142857143,47.6071428571429,44.4642857142857,50.6428571428571,48.6071428571429,44.5357142857143,33.4642857142857,32.3571428571429,36.4285714285714,50.6785714285714,72.8928571428571,21.4285714285714,0,0,0,0,0,0,0,0,0,38.5,59.6785714285714,38.4642857142857,25.3214285714286,16.2142857142857,13.2142857142857,13.1785714285714,15.1785714285714,12.1785714285714,16.25,31.4642857142857,67.8214285714286,83,27.5,15.1785714285714,13.1071428571429,17.2142857142857,56.6428571428571,73.8571428571429,23.2142857142857,0,0,0,0,0,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
318,2,0,0,0,0,9,44.0714285714286,56.1428571428571,67.25,57.2857142857143,50.8214285714286,45.0714285714286,63.5714285714286,86.7142857142857,79.5,65.8928571428571,60.5714285714286,87.9285714285714,101.785714285714,87.2857142857143,80.9642857142857,89.6071428571429,71.6428571428571,38.8571428571429,0,0,0,0,0,0,0,0,0,0,38.3214285714286,76.75,106.75,105.107142857143,90.5,80.6428571428571,84.4642857142857,102.821428571429,80.3214285714286,33,32.8214285714286,30.0714285714286,30.1071428571429,26.6785714285714,25.1428571428571,31.6785714285714,52.2142857142857,85.5,84.1071428571429,46.9642857142857,0,0,0,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56
319,2,0,0,0,0,0,0,11.5357142857143,32.5,39.2857142857143,47.25,53.25,61.8214285714286,67.6428571428571,66.8214285714286,70.5357142857143,66.0714285714286,69.8928571428571,65.1428571428571,38.8571428571429,16.5357142857143,21.5,25.25,22.6785714285714,20.4285714285714,11.7857142857143,0.857142857142857,0,0,0,0,0,13.2142857142857,20.0714285714286,20.5357142857143,38.1071428571429,46.1785714285714,59.5,81,92.3571428571429,56.9642857142857,21.4285714285714,20.3571428571429,18.3928571428571,20.25,21.9285714285714,36.8571428571429,56.2857142857143,56.7142857142857,57.3214285714286,46.0357142857143,26.1428571428571,0,0,0,0,0,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
320,9,0,0,0,0,0,0,0,0,0,28.6071428571429,69.9642857142857,95.6785714285714,86.5357142857143,85.7857142857143,84.1428571428571,79.6428571428571,69.1071428571429,68.8214285714286,55.3571428571429,57.9642857142857,39.1071428571429,0,0,0,0,0,0,0,0,0,19.3571428571429,25.25,27.2857142857143,25.25,28.7142857142857,27.7142857142857,27.25,27.2142857142857,27.1785714285714,31.0714285714286,71.7857142857143,72.5714285714286,63.5714285714286,52.9642857142857,54.7142857142857,49.7142857142857,39.8571428571429,46.7142857142857,60.9285714285714,41.6071428571429,0,0,0,0,0,0,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52
321,0,0,0,0,0,0,0,0,6.10714285714286,62.1428571428571,112.678571428571,103.928571428571,96.6785714285714,88,82.5357142857143,78.0714285714286,70.4285714285714,74.1071428571429,84.5,116.107142857143,128.785714285714,71.8571428571429,8.03571428571429,0,0,0,0,0,0,0,0,0,0,45.9642857142857,78.4642857142857,94,106.642857142857,80.1428571428571,52.2857142857143,46.0357142857143,42.25,36,36.2142857142857,52,60.3571428571429,48,52.3214285714286,55.9642857142857,68.5,80.0357142857143,68.4642857142857,50.0357142857143,30.2857142857143,0,0,0,0,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64
322,3,0,0,0,0,7.53571428571429,30.7142857142857,32.75,30.9285714285714,29.3571428571429,24.3214285714286,24.3571428571429,43.7142857142857,55.5357142857143,71.6785714285714,78.2857142857143,81.6428571428571,105.107142857143,122.785714285714,108.75,71.5,41.4642857142857,7.42857142857143,0,0,0,0,0,0,0,0,0,0,47.6428571428571,77.9642857142857,91.8928571428571,67.4285714285714,51.4642857142857,40.7142857142857,29.3571428571429,27.25,24.4642857142857,42.8571428571429,52.8571428571429,42.0714285714286,31.4285714285714,31.6785714285714,34.25,34.7857142857143,51.3928571428571,83.2857142857143,74.0357142857143,31.0357142857143,0,0,0,0,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
323,9,0,0,0,0,0,0,9.28571428571429,53.8928571428571,52.0357142857143,34.2142857142857,32.3214285714286,31.3571428571429,27.2857142857143,28.5,28.6785714285714,30.6785714285714,62.4285714285714,126,137.25,67.7857142857143,11.4642857142857,0,0,0,0,0,0,0,0,0,19.2142857142857,19.3571428571429,21.3571428571429,19.6785714285714,19.25,18.25,20.25,18.3928571428571,47.1428571428571,76.0357142857143,61.9642857142857,54.3214285714286,49.2142857142857,39.4642857142857,38.8571428571429,39.2142857142857,35.5357142857143,38.6428571428571,67.75,29.2857142857143,0,0,0,0,0,0,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62
