YEAR	TEST.ID	BLOCK	TRAP	TRAP_TYPE	TEST.DATE	NUMBER.OF.MOSQUITOES	SPECIES	LOCATION	LATITUDE	LONGITUDE
8516	2015	41474	70XX N MOSELLE AVE	T008	GRAVID	2015-07-30 12:07:00	25	CULEX PIPIENS/RESTUANS	42.007997503125345, -87.77823496507851	42.0079975031253	-87.7782349650785
8517	2015	41482	51XX N MONT CLARE AVE	T223	GRAVID	2015-07-30 12:07:00	49	CULEX PIPIENS/RESTUANS	41.974522761157274, -87.80458946950488	41.9745227611573	-87.8045894695049
8519	2015	41521	39XX N SPRINGFIELD AVE	T228	GRAVID	2015-07-30 12:07:00	24	CULEX RESTUANS	41.95366415238544, -87.72498719138876	41.9536641523854	-87.7249871913888
8520	2015	41408	39XX S ASHLAND AVE	T074	GRAVID	2015-07-30 12:07:00	6	CULEX RESTUANS	41.82085850772701, -87.66510809467968	41.820858507727	-87.6651080946797
8523	2015	41445	58XX N WESTERN AVE	T028	GRAVID	2015-07-30 12:07:00	14	CULEX RESTUANS	41.98724460846669, -87.68941677018957	41.9872446084667	-87.6894167701896
8525	2015	41486	71XX N HARLEM AVE	T233	GRAVID	2015-07-30 12:07:00	6	CULEX RESTUANS	42.0106432736568, -87.80679730045945	42.0106432736568	-87.8067973004595
8528	2015	41417	9XX W GARFIELD BLVD	T226	GRAVID	2015-07-30 12:07:00	1	CULEX RESTUANS	41.79436647814991, -87.64892513653469	41.7943664781499	-87.6489251365347
8530	2015	41390	61XX W FULLERTON AVE	T013	GRAVID	2015-07-30 12:07:00	1	CULEX RESTUANS	41.92388736426867, -87.77890991205359	41.9238873642687	-87.7789099120536
8531	2015	41475	70XX N MOSELLE AVE	T008	GRAVID	2015-07-30 12:07:00	14	CULEX RESTUANS	42.007997503125345, -87.77823496507851	42.0079975031253	-87.7782349650785
8532	2015	41391	1XX N CENTRAL PARK DR	T030	GRAVID	2015-07-30 12:07:00	16	CULEX RESTUANS	41.8837717767951, -87.71616836510131	41.8837717767951	-87.7161683651013
8535	2015	41467	37XX E 118TH ST	T212	GRAVID	2015-07-30 12:07:00	10	CULEX PIPIENS/RESTUANS	41.681034931122895, -87.53343646731054	41.6810349311229	-87.5334364673105
8537	2015	41485	71XX N HARLEM AVE	T233	GRAVID	2015-07-30 12:07:00	8	CULEX PIPIENS/RESTUANS	42.0106432736568, -87.80679730045945	42.0106432736568	-87.8067973004595
8538	2015	41464	24XX E 105TH ST	T128	GRAVID	2015-07-30 12:07:00	2	CULEX RESTUANS	41.704687213624375, -87.5642355621286	41.7046872136244	-87.5642355621286
8541	2015	41517	39XX N SPRINGFIELD AVE	T228	GRAVID	2015-07-30 12:07:00	5	CULEX PIPIENS	41.95366415238544, -87.72498719138876	41.9536641523854	-87.7249871913888
8543	2015	41387	11XX S CALIFORNIA AVE	T047	GRAVID	2015-07-30 12:07:00	1	CULEX PIPIENS/RESTUANS	41.86759925367238, -87.69578544257037	41.8675992536724	-87.6957854425704
8544	2015	41441	12XX W GREENLEAF AVE	T018	GRAVID	2015-07-30 12:07:00	2	CULEX RESTUANS	42.01052928915475, -87.6608450688439	42.0105292891548	-87.6608450688439
8547	2015	41384	3XX W 18TH ST	T043	GRAVID	2015-07-30 12:07:00	1	CULEX PIPIENS/RESTUANS	41.857837293807705, -87.63586198559554	41.8578372938077	-87.6358619855955
8548	2015	41440	12XX W GREENLEAF AVE	T018	GRAVID	2015-07-30 12:07:00	3	CULEX PIPIENS/RESTUANS	42.01052928915475, -87.6608450688439	42.0105292891548	-87.6608450688439
8549	2015	41449	58XX N RIDGE AVE	T231	GRAVID	2015-07-30 12:07:00	50	CULEX PIPIENS/RESTUANS	41.98788069188603, -87.66678507548095	41.987880691886	-87.6667850754809
8550	2015	41455	17XX W 95TH ST	T094	GRAVID	2015-07-30 12:07:00	7	CULEX RESTUANS	41.72128749967918, -87.66523570170051	41.7212874996792	-87.6652357017005
8551	2015	41420	52XX W 63RD ST	T065	GRAVID	2015-07-30 12:07:00	1	CULEX PIPIENS/RESTUANS	41.77830515554422, -87.75436628603191	41.7783051555442	-87.7543662860319
8552	2015	41461	89XX S MUSKEGON AVE	T099	GRAVID	2015-07-30 12:07:00	5	CULEX RESTUANS	41.73318787971678, -87.55562868950284	41.7331878797168	-87.5556286895028
8554	2015	41477	91XX W HIGGINS RD	T009	GRAVID	2015-07-30 12:07:00	1	CULEX RESTUANS	41.988586396324166, -87.85447335120561	41.9885863963242	-87.8544733512056
8555	2015	41423	52XX S KOLMAR AVE	T114	GRAVID	2015-07-30 12:07:00	8	CULEX PIPIENS	41.79821072626856, -87.73692496319906	41.7982107262686	-87.7369249631991
8557	2015	41406	39XX S ASHLAND AVE	T074	GRAVID	2015-07-30 12:07:00	4	CULEX PIPIENS	41.82085850772701, -87.66510809467968	41.820858507727	-87.6651080946797
8558	2015	41466	131XX S BRANDON AVE	T209	GRAVID	2015-07-30 12:07:00	4	CULEX PIPIENS/RESTUANS	41.657068875649955, -87.54604886505916	41.65706887565	-87.5460488650592
8560	2015	41463	24XX E 105TH ST	T128	GRAVID	2015-07-30 12:07:00	7	CULEX PIPIENS/RESTUANS	41.704687213624375, -87.5642355621286	41.7046872136244	-87.5642355621286
8561	2015	41386	25XX W GRAND AVE	T046	GRAVID	2015-07-30 12:07:00	5	CULEX RESTUANS	41.89221998323666, -87.69169772868295	41.8922199832367	-87.691697728683
8562	2015	41430	82XX S KOSTNER AVE	T225	GRAVID	2015-07-30 12:07:00	8	CULEX PIPIENS	41.7426704781299, -87.73155005887604	41.7426704781299	-87.731550058876
8564	2015	41388	22XX N CANNON DR	T054A	GRAVID	2015-07-30 12:07:00	4	CULEX PIPIENS/RESTUANS	41.92273664946568, -87.63244996720142	41.9227366494657	-87.6324499672014
8566	2015	41484	51XX N MONT CLARE AVE	T223	GRAVID	2015-07-30 12:07:00	17	CULEX RESTUANS	41.974522761157274, -87.80458946950488	41.9745227611573	-87.8045894695049
8567	2015	41471	41XX N OAK PARK AVE	T002	GRAVID	2015-07-30 12:07:00	2	CULEX PIPIENS	41.956298856118664, -87.79751744482932	41.9562988561187	-87.7975174448293
8568	2015	41442	12XX W GREENLEAF AVE	T018	GRAVID	2015-07-30 12:07:00	1	CULEX TERRITANS	42.01052928915475, -87.6608450688439	42.0105292891548	-87.6608450688439
8569	2015	41452	104XX S VINCENNES AVE	T089	GRAVID	2015-07-30 12:07:00	4	CULEX PIPIENS	41.70433841525342, -87.65708427193195	41.7043384152534	-87.657084271932
8570	2015	41480	61XX N LEMONT AVE	T012	GRAVID	2015-07-30 12:07:00	4	CULEX RESTUANS	41.99356436155678, -87.74542038704298	41.9935643615568	-87.745420387043
8571	2015	41429	52XX S KOLMAR AVE	T114	GRAVID	2015-07-30 12:07:00	44	CULEX RESTUANS	41.79821072626856, -87.73692496319906	41.7982107262686	-87.7369249631991
8572	2015	41468	37XX E 118TH ST	T212	GRAVID	2015-07-30 12:07:00	13	CULEX RESTUANS	41.681034931122895, -87.53343646731054	41.6810349311229	-87.5334364673105
8573	2015	41424	52XX S KOLMAR AVE	T114	GRAVID	2015-07-30 12:07:00	48	CULEX PIPIENS/RESTUANS	41.79821072626856, -87.73692496319906	41.7982107262686	-87.7369249631991
8574	2015	41439	58XX N PULASKI RD	T027	GRAVID	2015-07-30 12:07:00	7	CULEX RESTUANS	41.986319851449004, -87.72837845617912	41.986319851449	-87.7283784561791
8575	2015	41465	101XX S STONY ISLAND AVE	T138	GRAVID	2015-07-30 12:07:00	1	CULEX RESTUANS	41.71054240215372, -87.58455893336821	41.7105424021537	-87.5845589333682
8577	2015	41396	25XX S MILLARD AVE	T152	GRAVID	2015-07-30 12:07:00	13	CULEX PIPIENS/RESTUANS	41.845715401799, -87.7158985974353	41.845715401799	-87.7158985974353
8578	2015	41448	58XX N RIDGE AVE	T231	GRAVID	2015-07-30 12:07:00	3	CULEX PIPIENS	41.98788069188603, -87.66678507548095	41.987880691886	-87.6667850754809
8579	2015	41453	104XX S VINCENNES AVE	T089	GRAVID	2015-07-30 12:07:00	12	CULEX PIPIENS/RESTUANS	41.70433841525342, -87.65708427193195	41.7043384152534	-87.657084271932
8580	2015	41421	52XX W 63RD ST	T065	GRAVID	2015-07-30 12:07:00	2	CULEX RESTUANS	41.77830515554422, -87.75436628603191	41.7783051555442	-87.7543662860319
8582	2015	41450	58XX N RIDGE AVE	T231	GRAVID	2015-07-30 12:07:00	6	CULEX PIPIENS/RESTUANS	41.98788069188603, -87.66678507548095	41.987880691886	-87.6667850754809
8583	2015	41447	45XX N CAMPBELL AVE	T220	GRAVID	2015-07-30 12:07:00	5	CULEX RESTUANS	41.96440545399697, -87.69137039109717	41.964405453997	-87.6913703910972
8584	2015	41435	42XX W 65TH ST	T235	GRAVID	2015-07-30 12:07:00	2	CULEX RESTUANS	41.7748411153277, -87.72800581922763	41.7748411153277	-87.7280058192276
8585	2015	41410	77XX S EBERHART AVE	T080	GRAVID	2015-07-30 12:07:00	3	CULEX PIPIENS/RESTUANS	41.75414841411549, -87.61272102258191	41.7541484141155	-87.6127210225819
8586	2015	41459	89XX S CARPENTER ST	T159	GRAVID	2015-07-30 12:07:00	3	CULEX PIPIENS/RESTUANS	41.73144685817715, -87.64972225277589	41.7314468581772	-87.6497222527759
8587	2015	41393	17XX N PULASKI RD	T039	GRAVID	2015-07-30 12:07:00	5	CULEX RESTUANS	41.91356758228873, -87.72630030176042	41.9135675822887	-87.7263003017604
8588	2015	41460	89XX S CARPENTER ST	T159	GRAVID	2015-07-30 12:07:00	3	CULEX RESTUANS	41.73144685817715, -87.64972225277589	41.7314468581772	-87.6497222527759
8589	2015	41446	28XX N FRANCISCO AVE	T147	GRAVID	2015-07-30 12:07:00	1	CULEX PIPIENS	41.93279020985206, -87.7002378838387	41.9327902098521	-87.7002378838387
8591	2015	41394	70XX W ARMITAGE AVE	T151	GRAVID	2015-07-30 12:07:00	8	CULEX PIPIENS/RESTUANS	41.91613471854847, -87.80109280863755	41.9161347185485	-87.8010928086375
8592	2015	41400	5XX W 72ND ST	T035	GRAVID	2015-07-30 12:07:00	16	CULEX PIPIENS/RESTUANS	41.76337092198238, -87.6378726141474	41.7633709219824	-87.6378726141474
8594	2015	41399	48XX W MONTANA ST	T222	GRAVID	2015-07-30 12:07:00	1	CULEX RESTUANS	41.92528678345797, -87.74745912379434	41.925286783458	-87.7474591237943
8595	2015	41407	39XX S ASHLAND AVE	T074	GRAVID	2015-07-30 12:07:00	6	CULEX PIPIENS/RESTUANS	41.82085850772701, -87.66510809467968	41.820858507727	-87.6651080946797
8596	2015	41411	77XX S EBERHART AVE	T080	GRAVID	2015-07-30 12:07:00	1	CULEX RESTUANS	41.75414841411549, -87.61272102258191	41.7541484141155	-87.6127210225819
8597	2015	41409	77XX S EBERHART AVE	T080	GRAVID	2015-07-30 12:07:00	1	CULEX PIPIENS	41.75414841411549, -87.61272102258191	41.7541484141155	-87.6127210225819
8599	2015	41469	4XX E 130TH ST	T221	GRAVID	2015-07-30 12:07:00	15	CULEX PIPIENS/RESTUANS	41.65923601846575, -87.61201512813366	41.6592360184657	-87.6120151281337
8600	2015	41437	58XX N PULASKI RD	T027	GRAVID	2015-07-30 12:07:00	2	CULEX PIPIENS	41.986319851449004, -87.72837845617912	41.986319851449	-87.7283784561791
8601	2015	41518	39XX N SPRINGFIELD AVE	T228	GRAVID	2015-07-30 12:07:00	8	CULEX PIPIENS/RESTUANS	41.95366415238544, -87.72498719138876	41.9536641523854	-87.7249871913888
8602	2015	41473	46XX N MILWAUKEE AVE	T003	GRAVID	2015-07-30 12:07:00	14	CULEX RESTUANS	41.96537485879688, -87.75841171521544	41.9653748587969	-87.7584117152154
8603	2015	41405	10XX E 67TH ST	T073	GRAVID	2015-07-30 12:07:00	4	CULEX RESTUANS	41.773085401492715, -87.60016755939222	41.7730854014927	-87.6001675593922
8604	2015	41392	5XX S CENTRAL AVE	T031	GRAVID	2015-07-30 12:07:00	1	CULEX RESTUANS	41.87287286249572, -87.7647365320396	41.8728728624957	-87.7647365320396
8605	2015	41443	58XX N WESTERN AVE	T028	GRAVID	2015-07-30 12:07:00	1	CULEX PIPIENS	41.98724460846669, -87.68941677018957	41.9872446084667	-87.6894167701896
8606	2015	41427	52XX S KOLMAR AVE	T114	GRAVID	2015-07-30 12:07:00	50	CULEX RESTUANS	41.79821072626856, -87.73692496319906	41.7982107262686	-87.7369249631991
8609	2015	41385	25XX W GRAND AVE	T046	GRAVID	2015-07-30 12:07:00	1	CULEX PIPIENS/RESTUANS	41.89221998323666, -87.69169772868295	41.8922199832367	-87.691697728683
8610	2015	41389	61XX W FULLERTON AVE	T013	GRAVID	2015-07-30 12:07:00	7	CULEX PIPIENS/RESTUANS	41.92388736426867, -87.77890991205359	41.9238873642687	-87.7789099120536
8611	2015	41434	42XX W 65TH ST	T235	GRAVID	2015-07-30 12:07:00	9	CULEX PIPIENS/RESTUANS	41.7748411153277, -87.72800581922763	41.7748411153277	-87.7280058192276
8612	2015	41519	39XX N SPRINGFIELD AVE	T228	GRAVID	2015-07-30 12:07:00	50	CULEX RESTUANS	41.95366415238544, -87.72498719138876	41.9536641523854	-87.7249871913888
8613	2015	41404	10XX E 67TH ST	T073	GRAVID	2015-07-30 12:07:00	10	CULEX PIPIENS/RESTUANS	41.773085401492715, -87.60016755939222	41.7730854014927	-87.6001675593922
8614	2015	41438	58XX N PULASKI RD	T027	GRAVID	2015-07-30 12:07:00	3	CULEX PIPIENS/RESTUANS	41.986319851449004, -87.72837845617912	41.986319851449	-87.7283784561791
8616	2015	41462	127XX S DOTY AVE	T115	GRAVID	2015-07-30 12:07:00	2	CULEX PIPIENS/RESTUANS	41.66238672759086, -87.59017972751752	41.6623867275909	-87.5901797275175
8618	2015	41397	13XX N LARAMIE AVE	T230	GRAVID	2015-07-30 12:07:00	2	CULEX PIPIENS	41.904773447835936, -87.75568575289235	41.9047734478359	-87.7556857528923
8619	2015	41487	62XX N MCCLELLAN AVE	T236	GRAVID	2015-07-30 12:07:00	3	CULEX PIPIENS	41.99496630402897, -87.77083721987879	41.994966304029	-87.7708372198788
8620	2015	41413	50XX S UNION AVE	T082	GRAVID	2015-07-30 12:07:00	5	CULEX PIPIENS/RESTUANS	41.802359308973436, -87.64307591923095	41.8023593089734	-87.643075919231
8621	2015	41425	52XX S KOLMAR AVE	T114	GRAVID	2015-07-30 12:07:00	50	CULEX PIPIENS/RESTUANS	41.79821072626856, -87.73692496319906	41.7982107262686	-87.7369249631991
8622	2015	41488	62XX N MCCLELLAN AVE	T236	GRAVID	2015-07-30 12:07:00	3	CULEX RESTUANS	41.99496630402897, -87.77083721987879	41.994966304029	-87.7708372198788
8623	2015	41454	17XX W 95TH ST	T094	GRAVID	2015-07-30 12:07:00	1	CULEX PIPIENS	41.72128749967918, -87.66523570170051	41.7212874996792	-87.6652357017005
8624	2015	41431	82XX S KOSTNER AVE	T225	GRAVID	2015-07-30 12:07:00	28	CULEX PIPIENS/RESTUANS	41.7426704781299, -87.73155005887604	41.7426704781299	-87.731550058876
8625	2015	41323	3XX W 18TH ST	T043	GRAVID	2015-07-23 12:07:00	1	CULEX RESTUANS	41.857837293807705, -87.63586198559554	41.8578372938077	-87.6358619855955
8626	2015	41333	36XX N PITTSBURGH AVE	T011	GRAVID	2015-07-23 12:07:00	33	CULEX RESTUANS	41.94596109447193, -87.83294247349616	41.9459610944719	-87.8329424734962
8627	2015	41283	6XX E 91ST PL	T227	GRAVID	2015-07-23 12:07:00	2	CULEX PIPIENS/RESTUANS	41.728490033986375, -87.60852430813071	41.7284900339864	-87.6085243081307
8629	2015	41293	37XX E 118TH ST	T212	GRAVID	2015-07-23 12:07:00	6	CULEX PIPIENS	41.681034931122895, -87.53343646731054	41.6810349311229	-87.5334364673105
8631	2015	41279	119XX S ASHLAND AVE	T090	GRAVID	2015-07-23 12:07:00	2	CULEX PIPIENS/RESTUANS	41.67688731618708, -87.66122192616795	41.6768873161871	-87.661221926168
8632	2015	41269	39XX S ASHLAND AVE	T074	GRAVID	2015-07-23 12:07:00	3	CULEX PIPIENS	41.82085850772701, -87.66510809467968	41.820858507727	-87.6651080946797
8633	2015	41334	61XX N LEMONT AVE	T012	GRAVID	2015-07-23 12:07:00	1	CULEX PIPIENS/RESTUANS	41.99356436155678, -87.74542038704298	41.9935643615568	-87.745420387043
8634	2015	41307	22XX W 51ST ST	T061	GRAVID	2015-07-23 12:07:00	8	CULEX PIPIENS/RESTUANS	41.80104785720396, -87.68042473369341	41.801047857204	-87.6804247336934
8635	2015	41290	101XX S STONY ISLAND AVE	T138	GRAVID	2015-07-23 12:07:00	1	CULEX RESTUANS	41.71054240215372, -87.58455893336821	41.7105424021537	-87.5845589333682
8636	2015	41294	37XX E 118TH ST	T212	GRAVID	2015-07-23 12:07:00	12	CULEX PIPIENS/RESTUANS	41.681034931122895, -87.53343646731054	41.6810349311229	-87.5334364673105
8638	2015	41350	58XX N RIDGE AVE	T231	GRAVID	2015-07-23 12:07:00	20	CULEX PIPIENS/RESTUANS	41.98788069188603, -87.66678507548095	41.987880691886	-87.6667850754809
8639	2015	41328	46XX N MILWAUKEE AVE	T003	GRAVID	2015-07-23 12:07:00	19	CULEX RESTUANS	41.96537485879688, -87.75841171521544	41.9653748587969	-87.7584117152154
8640	2015	41263	25XX W GRAND AVE	T046	GRAVID	2015-07-23 12:07:00	1	CULEX TERRITANS	41.89221998323666, -87.69169772868295	41.8922199832367	-87.691697728683
8641	2015	41287	24XX E 105TH ST	T128	GRAVID	2015-07-23 12:07:00	25	CULEX PIPIENS/RESTUANS	41.704687213624375, -87.5642355621286	41.7046872136244	-87.5642355621286
8642	2015	41337	71XX N HARLEM AVE	T233	GRAVID	2015-07-23 12:07:00	6	CULEX PIPIENS/RESTUANS	42.0106432736568, -87.80679730045945	42.0106432736568	-87.8067973004595
8643	2015	41324	41XX N OAK PARK AVE	T002	GRAVID	2015-07-23 12:07:00	18	CULEX PIPIENS/RESTUANS	41.956298856118664, -87.79751744482932	41.9562988561187	-87.7975174448293
8644	2015	41299	14XX N HUMBOLDT DR	T033	GRAVID	2015-07-23 12:07:00	2	CULEX RESTUANS	41.90728487283588, -87.701394636759	41.9072848728359	-87.701394636759
8645	2015	41329	70XX N MOSELLE AVE	T008	GRAVID	2015-07-23 12:07:00	4	CULEX PIPIENS/RESTUANS	42.007997503125345, -87.77823496507851	42.0079975031253	-87.7782349650785
8647	2015	41309	35XX W 51ST ST	T062	GRAVID	2015-07-23 12:07:00	1	CULEX RESTUANS	41.8005970872007, -87.7117303452467	41.8005970872007	-87.7117303452467
8648	2015	41344	58XX N WESTERN AVE	T028	GRAVID	2015-07-23 12:07:00	12	CULEX RESTUANS	41.98724460846669, -87.68941677018957	41.9872446084667	-87.6894167701896
8649	2015	41326	46XX N MILWAUKEE AVE	T003	GRAVID	2015-07-23 12:07:00	7	CULEX PIPIENS	41.96537485879688, -87.75841171521544	41.9653748587969	-87.7584117152154
8650	2015	41341	12XX W GREENLEAF AVE	T018	GRAVID	2015-07-23 12:07:00	1	CULEX PIPIENS/RESTUANS	42.01052928915475, -87.6608450688439	42.0105292891548	-87.6608450688439
8651	2015	41318	82XX S KOSTNER AVE	T225	GRAVID	2015-07-23 12:07:00	2	CULEX PIPIENS/RESTUANS	41.7426704781299, -87.73155005887604	41.7426704781299	-87.731550058876
8652	2015	41296	4XX E 130TH ST	T221	GRAVID	2015-07-23 12:07:00	1	CULEX RESTUANS	41.65923601846575, -87.61201512813366	41.6592360184657	-87.6120151281337
8653	2015	41273	77XX S EBERHART AVE	T080	GRAVID	2015-07-23 12:07:00	36	CULEX RESTUANS	41.75414841411549, -87.61272102258191	41.7541484141155	-87.6127210225819
8654	2015	41278	9XX W GARFIELD BLVD	T226	GRAVID	2015-07-23 12:07:00	1	CULEX TERRITANS	41.79436647814991, -87.64892513653469	41.7943664781499	-87.6489251365347
8655	2015	41288	24XX E 105TH ST	T128	GRAVID	2015-07-23 12:07:00	32	CULEX RESTUANS	41.704687213624375, -87.5642355621286	41.7046872136244	-87.5642355621286
8656	2015	41292	131XX S BRANDON AVE	T209	GRAVID	2015-07-23 12:07:00	1	CULEX RESTUANS	41.657068875649955, -87.54604886505916	41.65706887565	-87.5460488650592
8657	2015	41302	25XX S MILLARD AVE	T152	GRAVID	2015-07-23 12:07:00	2	CULEX PIPIENS/RESTUANS	41.845715401799, -87.7158985974353	41.845715401799	-87.7158985974353
8658	2015	41310	37XX S PULASKI RD	T063	GRAVID	2015-07-23 12:07:00	1	CULEX RESTUANS	41.82539825646484, -87.72396213667864	41.8253982564648	-87.7239621366786
8659	2015	41286	127XX S DOTY AVE	T115	GRAVID	2015-07-23 12:07:00	5	CULEX PIPIENS/RESTUANS	41.66238672759086, -87.59017972751752	41.6623867275909	-87.5901797275175
8661	2015	41317	63XX W 64TH ST	T155	GRAVID	2015-07-23 12:07:00	1	CULEX RESTUANS	41.77600539167921, -87.77940766760916	41.7760053916792	-87.7794076676092
8663	2015	41308	22XX W 51ST ST	T061	GRAVID	2015-07-23 12:07:00	8	CULEX RESTUANS	41.80104785720396, -87.68042473369341	41.801047857204	-87.6804247336934
8666	2015	41297	61XX W FULLERTON AVE	T013	GRAVID	2015-07-23 12:07:00	4	CULEX PIPIENS/RESTUANS	41.92388736426867, -87.77890991205359	41.9238873642687	-87.7789099120536
8667	2015	41349	58XX N RIDGE AVE	T231	GRAVID	2015-07-23 12:07:00	4	CULEX PIPIENS	41.98788069188603, -87.66678507548095	41.987880691886	-87.6667850754809
8668	2015	41347	45XX N CAMPBELL AVE	T220	GRAVID	2015-07-23 12:07:00	1	CULEX PIPIENS/RESTUANS	41.96440545399697, -87.69137039109717	41.964405453997	-87.6913703910972
8669	2015	41312	67XX S KEDZIE AVE	T066	GRAVID	2015-07-23 12:07:00	1	CULEX PIPIENS/RESTUANS	41.77119858797388, -87.70310660774493	41.7711985879739	-87.7031066077449
8671	2015	41338	71XX N HARLEM AVE	T233	GRAVID	2015-07-23 12:07:00	7	CULEX RESTUANS	42.0106432736568, -87.80679730045945	42.0106432736568	-87.8067973004595
8673	2015	41281	89XX S CARPENTER ST	T159	GRAVID	2015-07-23 12:07:00	2	CULEX PIPIENS/RESTUANS	41.73144685817715, -87.64972225277589	41.7314468581772	-87.6497222527759
8674	2015	41325	41XX N OAK PARK AVE	T002	GRAVID	2015-07-23 12:07:00	46	CULEX RESTUANS	41.956298856118664, -87.79751744482932	41.9562988561187	-87.7975174448293
8677	2015	41379	51XX N MONT CLARE AVE	T223	GRAVID	2015-07-23 12:07:00	1	CULEX PIPIENS	41.974522761157274, -87.80458946950488	41.9745227611573	-87.8045894695049
8678	2015	41268	10XX E 67TH ST	T073	GRAVID	2015-07-23 12:07:00	19	CULEX RESTUANS	41.773085401492715, -87.60016755939222	41.7730854014927	-87.6001675593922
8680	2015	41343	58XX N WESTERN AVE	T028	GRAVID	2015-07-23 12:07:00	2	CULEX PIPIENS/RESTUANS	41.98724460846669, -87.68941677018957	41.9872446084667	-87.6894167701896
8681	2015	41306	48XX W MONTANA ST	T222	GRAVID	2015-07-23 12:07:00	2	CULEX RESTUANS	41.92528678345797, -87.74745912379434	41.925286783458	-87.7474591237943
8682	2015	41340	6XX W MONTROSE DR	T017	GRAVID	2015-07-23 12:07:00	5	CULEX RESTUANS	41.96201463828783, -87.64684772570871	41.9620146382878	-87.6468477257087
8683	2015	41378	70XX N MOSELLE AVE	T008	GRAVID	2015-07-23 12:07:00	1	CULEX PIPIENS	42.007997503125345, -87.77823496507851	42.0079975031253	-87.7782349650785
8685	2015	41277	9XX W GARFIELD BLVD	T226	GRAVID	2015-07-23 12:07:00	6	CULEX RESTUANS	41.79436647814991, -87.64892513653469	41.7943664781499	-87.6489251365347
8686	2015	41270	39XX S ASHLAND AVE	T074	GRAVID	2015-07-23 12:07:00	5	CULEX PIPIENS/RESTUANS	41.82085850772701, -87.66510809467968	41.820858507727	-87.6651080946797
8688	2015	41265	21XX N CANNON DR	T054C	GRAVID	2015-07-23 12:07:00	1	CULEX RESTUANS	41.921776903428494, -87.63214045192028	41.9217769034285	-87.6321404519203
8690	2015	41284	6XX E 91ST PL	T227	GRAVID	2015-07-23 12:07:00	1	CULEX RESTUANS	41.728490033986375, -87.60852430813071	41.7284900339864	-87.6085243081307
8694	2015	41304	13XX N LARAMIE AVE	T230	GRAVID	2015-07-23 12:07:00	6	CULEX PIPIENS/RESTUANS	41.904773447835936, -87.75568575289235	41.9047734478359	-87.7556857528923
8695	2015	41331	91XX W HIGGINS RD	T009	GRAVID	2015-07-23 12:07:00	1	CULEX RESTUANS	41.988586396324166, -87.85447335120561	41.9885863963242	-87.8544733512056
8697	2015	41342	58XX N PULASKI RD	T027	GRAVID	2015-07-23 12:07:00	3	CULEX PIPIENS/RESTUANS	41.986319851449004, -87.72837845617912	41.986319851449	-87.7283784561791
8698	2015	41311	52XX W 63RD ST	T065	GRAVID	2015-07-23 12:07:00	3	CULEX PIPIENS/RESTUANS	41.77830515554422, -87.75436628603191	41.7783051555442	-87.7543662860319
8700	2015	41303	25XX S MILLARD AVE	T152	GRAVID	2015-07-23 12:07:00	3	CULEX RESTUANS	41.845715401799, -87.7158985974353	41.845715401799	-87.7158985974353
8701	2015	41300	17XX N PULASKI RD	T039	GRAVID	2015-07-23 12:07:00	4	CULEX RESTUANS	41.91356758228873, -87.72630030176042	41.9135675822887	-87.7263003017604
8703	2015	41321	5XX W 72ND ST	T035	GRAVID	2015-07-23 12:07:00	2	CULEX PIPIENS/RESTUANS	41.76337092198238, -87.6378726141474	41.7633709219824	-87.6378726141474
8704	2015	41320	42XX W 65TH ST	T235	GRAVID	2015-07-23 12:07:00	4	CULEX RESTUANS	41.7748411153277, -87.72800581922763	41.7748411153277	-87.7280058192276
8705	2015	41351	58XX N RIDGE AVE	T231	GRAVID	2015-07-23 12:07:00	4	CULEX RESTUANS	41.98788069188603, -87.66678507548095	41.987880691886	-87.6667850754809
8708	2015	41262	25XX W GRAND AVE	T046	GRAVID	2015-07-23 12:07:00	27	CULEX RESTUANS	41.89221998323666, -87.69169772868295	41.8922199832367	-87.691697728683
8709	2015	41335	51XX N MONT CLARE AVE	T223	GRAVID	2015-07-23 12:07:00	10	CULEX RESTUANS	41.974522761157274, -87.80458946950488	41.9745227611573	-87.8045894695049
8710	2015	41301	70XX W ARMITAGE AVE	T151	GRAVID	2015-07-23 12:07:00	8	CULEX RESTUANS	41.91613471854847, -87.80109280863755	41.9161347185485	-87.8010928086375
8711	2015	41264	11XX W ROOSEVELT RD	T048	GRAVID	2015-07-23 12:07:00	3	CULEX PIPIENS/RESTUANS	41.86691518161014, -87.65491884363057	41.8669151816101	-87.6549188436306
8712	2015	41313	22XX W 69TH ST	T069	GRAVID	2015-07-23 12:07:00	2	CULEX RESTUANS	41.768485667016584, -87.67946342813606	41.7684856670166	-87.6794634281361
8714	2015	41336	39XX N SPRINGFIELD AVE	T228	GRAVID	2015-07-23 12:07:00	12	CULEX RESTUANS	41.95366415238544, -87.72498719138876	41.9536641523854	-87.7249871913888
8716	2015	41291	131XX S BRANDON AVE	T209	GRAVID	2015-07-23 12:07:00	4	CULEX PIPIENS/RESTUANS	41.657068875649955, -87.54604886505916	41.65706887565	-87.5460488650592
8718	2015	41271	39XX S ASHLAND AVE	T074	GRAVID	2015-07-23 12:07:00	12	CULEX RESTUANS	41.82085850772701, -87.66510809467968	41.820858507727	-87.6651080946797
8719	2015	41298	1XX N CENTRAL PARK DR	T030	GRAVID	2015-07-23 12:07:00	15	CULEX RESTUANS	41.8837717767951, -87.71616836510131	41.8837717767951	-87.7161683651013
